"Choice 1","Choice 2","Choice 3","Choice 4","Choice 5","Choice 6","Choice 7","Choice 8","Choice 9","Choice 10","Choice 11","Choice 12","createdAt",
"Brian T. Carroll","Mark Ruzon","John Wallbank","Rene Trabanino","Desmond Silveira","","","","","","","","1666370173610"
"Domenico Camplisson","Brian T. Carroll","James G. Hanink","Desmond Silveira","Ed Rushman","Erskine L. Levi Jr.","John Wallbank","Mark Ruzon","Dominick DiCarlo","Edward B. Frankovic","Rene Trabanino","Leslie Shaw Klinger","1666374152516"
"Desmond Silveira","Edward B. Frankovic","Mark Ruzon","James G. Hanink","Rene Trabanino","Erskine L. Levi Jr.","Brian T. Carroll","Leslie Shaw Klinger","Ed Rushman","Dominick DiCarlo","John Wallbank","Domenico Camplisson","1666295916290"
"Desmond Silveira","James G. Hanink","Leslie Shaw Klinger","Rene Trabanino","Erskine L. Levi Jr.","","","","","","","","1666369431209"
"Desmond Silveira","Edward B. Frankovic","Rene Trabanino","Mark Ruzon","Dominick DiCarlo","","","","","","","","1666377704722"
"Domenico Camplisson","","","","","","","","","","","","1666442799865"
"Desmond Silveira","James G. Hanink","Mark Ruzon","John Wallbank","Erskine L. Levi Jr.","","","","","","","","1666406326927"
"James G. Hanink","John Wallbank","Mark Ruzon","Dominick DiCarlo","Ed Rushman","Leslie Shaw Klinger","Brian T. Carroll","Desmond Silveira","Erskine L. Levi Jr.","Edward B. Frankovic","Rene Trabanino","Domenico Camplisson","1666379776567"
"Domenico Camplisson","James G. Hanink","Mark Ruzon","Dominick DiCarlo","Desmond Silveira","","","","","","","","1666365931539"
"Desmond Silveira","Mark Ruzon","Erskine L. Levi Jr.","Rene Trabanino","Edward B. Frankovic","Brian T. Carroll","Dominick DiCarlo","Leslie Shaw Klinger","James G. Hanink","Ed Rushman","Domenico Camplisson","John Wallbank","1666417679244"
"Brian T. Carroll","Leslie Shaw Klinger","Rene Trabanino","Mark Ruzon","Desmond Silveira","Ed Rushman","James G. Hanink","Edward B. Frankovic","Dominick DiCarlo","Domenico Camplisson","John Wallbank","Erskine L. Levi Jr.","1666374317843"
"Brian T. Carroll","James G. Hanink","Dominick DiCarlo","Rene Trabanino","Edward B. Frankovic","Ed Rushman","Mark Ruzon","Domenico Camplisson","John Wallbank","Desmond Silveira","Erskine L. Levi Jr.","Leslie Shaw Klinger","1666393515581"
